CR3: 375c8000 PAGE_VAL: c1928000 ESP: c1929f74
CR3: 37716000 PAGE_VAL: f596c000 ESP: f596de88
CR3: 376c2000 PAGE_VAL: f7568000 ESP: f7569e9c
CR3: 37716000 PAGE_VAL: f7538000 ESP: f7539f2c
CR3: 376c2000 PAGE_VAL: f7568000 ESP: f7569f2c
CR3: 37716000 PAGE_VAL: f7538000 ESP: f7539f2c
CR3: 376c2000 PAGE_VAL: f7568000 ESP: f7569f2c
CR3: 37716000 PAGE_VAL: f7538000 ESP: f7539e10
CR3: 3772f000 PAGE_VAL: f7568000 ESP: f7569f2c
CR3: 376c2000 PAGE_VAL: f58a2000 ESP: f58a3e44
CR3: 37716000 PAGE_VAL: f58a2000 ESP: f58a3e44
CR3: 3772f000 PAGE_VAL: f5896000 ESP: f5897ec8
CR3: 376c2000 PAGE_VAL: f77d2000 ESP: f77d3f2c
CR3: 3772f000 PAGE_VAL: f7538000 ESP: f7539f2c
CR3: 376c2000 PAGE_VAL: f77d2000 ESP: f77d3f2c
CR3: 3772f000 PAGE_VAL: f7538000 ESP: f7539f2c
CR3: 376c2000 PAGE_VAL: f77d2000 ESP: f77d3f2c
CR3: 3772f000 PAGE_VAL: f7538000 ESP: f7539f2c
CR3: 376c2000 PAGE_VAL: f77d2000 ESP: f77d3ea8
CR3: 3772f000 PAGE_VAL: f7538000 ESP: f7539f2c
CR3: 376c2000 PAGE_VAL: f77d2000 ESP: f77d3d28
CR3: 3772f000 PAGE_VAL: f58a2000 ESP: f58a3e44
CR3: 376c2000 PAGE_VAL: f77d2000 ESP: f77d3d4c
CR3: 3772f000 PAGE_VAL: f7538000 ESP: f7539de0
CR3: 3752d000 PAGE_VAL: f77d2000 ESP: f77d3eac
CR3: 376c2000 PAGE_VAL: f77d2000 ESP: f77d3cfc
CR3: 3752d000 PAGE_VAL: f7538000 ESP: f7539d28
CR3: 376c2000 PAGE_VAL: f77d2000 ESP: f77d3da8
CR3: 3752d000 PAGE_VAL: f7538000 ESP: f7539e6c
CR3: 376c2000 PAGE_VAL: f77d2000 ESP: f77d3d74
CR3: 3752d000 PAGE_VAL: f7538000 ESP: f7539e14
CR3: 376c2000 PAGE_VAL: f77d2000 ESP: f77d3d38
CR3: 375af000 PAGE_VAL: f7538000 ESP: f7539eac
CR3: 3752d000 PAGE_VAL: f7538000 ESP: f7539e18
CR3: 375af000 PAGE_VAL: f77d2000 ESP: f77d3ddc
CR3: 3752d000 PAGE_VAL: f7538000 ESP: f7539cfc
CR3: 375af000 PAGE_VAL: f77d2000 ESP: f77d3f2c
CR3: 3752d000 PAGE_VAL: f7538000 ESP: f7539ca0
CR3: 375af000 PAGE_VAL: f77d2000 ESP: f77d3f2c
CR3: 3752d000 PAGE_VAL: f7538000 ESP: f7539f2c
CR3: 375af000 PAGE_VAL: f77d2000 ESP: f77d3f2c
CR3: 3752d000 PAGE_VAL: f7538000 ESP: f7539f2c
CR3: 375af000 PAGE_VAL: f58a2000 ESP: f58a3e44
CR3: 3752d000 PAGE_VAL: f58a2000 ESP: f58a3e44
CR3: 375af000 PAGE_VAL: f58a2000 ESP: f58a3e44
CR3: 3752d000 PAGE_VAL: f58a2000 ESP: f58a3e44
CR3: 375af000 PAGE_VAL: f58a2000 ESP: f58a3e44
CR3: 3752d000 PAGE_VAL: f58a2000 ESP: f58a3e44
CR3: 375af000 PAGE_VAL: f58a2000 ESP: f58a3ea4
CR3: 3752d000 PAGE_VAL: f58a2000 ESP: f58a3e44
CR3: 375af000 PAGE_VAL: f58a2000 ESP: f58a3ea4
CR3: 3752d000 PAGE_VAL: f58a2000 ESP: f58a3e44
CR3: 375af000 PAGE_VAL: f58a2000 ESP: f58a3ea4
CR3: 3752d000 PAGE_VAL: f58a2000 ESP: f58a3e44
CR3: 375af000 PAGE_VAL: f58a2000 ESP: f58a3ea4
CR3: 3752d000 PAGE_VAL: f7538000 ESP: f7539f2c
CR3: 375af000 PAGE_VAL: f77d2000 ESP: f77d3f08
CR3: 3752d000 PAGE_VAL: f58a2000 ESP: f58a3e44
CR3: 375af000 PAGE_VAL: f58a2000 ESP: f58a3ea4
CR3: 3752d000 PAGE_VAL: f7538000 ESP: f7539e54
CR3: 375af000 PAGE_VAL: f596c000 ESP: f596dec0
CR3: 3752d000 PAGE_VAL: f58a2000 ESP: f58a3e44
CR3: 375af000 PAGE_VAL: f58a2000 ESP: f58a3ea4
CR3: 3752d000 PAGE_VAL: f7538000 ESP: f7539f2c
CR3: 375af000 PAGE_VAL: f77d2000 ESP: f77d3e10
CR3: 3752d000 PAGE_VAL: f7538000 ESP: f7539f2c
CR3: 375af000 PAGE_VAL: f77d2000 ESP: f77d3f2c
CR3: 3752d000 PAGE_VAL: f7538000 ESP: f7539f2c
CR3: 375af000 PAGE_VAL: f77d2000 ESP: f77d3e50
CR3: 3752d000 PAGE_VAL: f7538000 ESP: f7539f2c
CR3: 375af000 PAGE_VAL: f77d2000 ESP: f77d3d1c
CR3: 3752d000 PAGE_VAL: f7538000 ESP: f7539d94
CR3: 375af000 PAGE_VAL: f3832000 ESP: f3833ddc
CR3: 3752d000 PAGE_VAL: f76f6000 ESP: f76f7ec0
CR3: 375af000 PAGE_VAL: f58a2000 ESP: f58a3e44
CR3: 37716000 PAGE_VAL: f7538000 ESP: f7539ebc
CR3: 375af000 PAGE_VAL: f58a2000 ESP: f58a3e44
CR3: 3752d000 PAGE_VAL: f58a2000 ESP: f58a3e44
CR3: 375af000 PAGE_VAL: f58a2000 ESP: f58a3e44
